frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
87	0.455249	4	276.551	215.111	2188.621	107.936	2856.144	83.192	3555.627	91.386	--undefined--	--undefined--
88	0.460249	5	274.154	163.907	2167.964	87.710	2844.387	80.716	3530.181	124.875	4568.702	1684.194
89	0.465249	5	273.264	136.071	2170.655	78.842	2845.899	76.283	3531.756	130.868	4639.585	1602.806
90	0.470249	5	274.349	115.060	2176.696	80.028	2848.917	75.655	3541.217	129.670	4695.260	1699.868
91	0.475249	5	274.531	77.830	2184.867	83.318	2863.589	90.774	3512.105	186.907	4701.065	1867.477
92	0.480249	5	275.238	58.026	2187.584	89.937	2905.826	122.177	3506.586	192.899	4674.820	2051.562
93	0.485249	5	275.776	49.842	2186.373	94.745	2993.073	135.642	3549.742	183.920	4722.612	2479.865
94	0.490249	5	274.689	44.316	2181.578	119.634	2964.855	143.689	3403.782	213.561	4683.148	2008.539
95	0.495249	5	274.513	32.292	2183.735	112.251	2916.851	170.011	3298.053	165.266	5057.056	1937.041
96	0.500249	5	274.302	30.079	2219.345	157.275	2946.305	196.677	3390.192	300.286	4673.078	1765.073
97	0.505249	5	273.563	30.939	2250.049	189.775	2969.687	176.248	3509.808	274.546	4692.266	2166.229
98	0.510249	4	273.724	28.183	2259.570	160.315	2982.631	164.022	3537.962	237.347	--undefined--	--undefined--
99	0.515249	4	272.802	25.613	2276.031	175.565	3004.733	173.514	3549.167	254.378	--undefined--	--undefined--
100	0.520249	5	271.701	26.532	2319.050	230.105	3015.296	172.996	3508.578	263.392	4852.841	2787.433
101	0.525249	5	271.391	23.929	2334.566	256.618	3029.784	180.349	3524.016	287.661	4147.520	2165.421
102	0.530249	5	270.317	22.789	2331.238	230.979	3036.267	152.423	3541.156	224.962	4504.498	2690.185
103	0.535249	5	269.129	20.599	2302.990	189.427	3042.404	145.229	3567.849	202.163	4910.925	3276.172
104	0.540249	4	269.044	20.438	2311.969	198.418	3056.694	137.830	3577.297	182.584	--undefined--	--undefined--
105	0.545249	4	268.028	21.235	2294.479	200.884	3058.440	146.279	3568.025	235.907	--undefined--	--undefined--
106	0.550249	4	267.091	18.871	2272.158	195.523	3059.239	198.208	3598.734	340.225	--undefined--	--undefined--
107	0.555249	5	266.754	17.027	2263.550	182.449	3070.657	250.065	3586.338	455.315	4265.498	2855.316
108	0.560249	5	266.365	18.152	2260.709	175.191	3074.937	258.843	3560.647	512.229	4756.499	3022.414
109	0.565249	4	266.868	19.433	2255.543	170.239	3045.714	273.534	3618.064	467.111	--undefined--	--undefined--
110	0.570249	4	267.491	19.437	2254.812	153.299	2979.721	265.004	3625.530	304.522	--undefined--	--undefined--
111	0.575249	4	267.500	21.671	2267.508	151.559	2961.354	253.892	3616.312	221.876	--undefined--	--undefined--
112	0.580249	5	267.643	20.346	2266.588	156.551	2964.300	325.223	3530.376	369.344	4247.256	3171.467
113	0.585249	5	268.245	18.310	2245.287	146.769	2921.240	423.183	3445.353	530.973	3766.464	1324.108
114	0.590249	5	268.460	20.576	2245.998	123.250	2937.633	324.004	3520.189	362.513	4109.546	2362.076
115	0.595249	5	269.411	21.938	2243.125	119.754	2948.464	337.066	3533.419	330.480	4650.900	3073.473
116	0.600249	4	270.404	22.954	2240.248	124.154	2929.817	369.003	3504.853	345.924	--undefined--	--undefined--
117	0.605249	4	270.997	23.809	2230.282	136.138	2847.913	448.511	3492.816	404.400	--undefined--	--undefined--
118	0.610249	4	272.788	24.329	2232.580	151.945	2786.875	371.711	3491.212	386.531	--undefined--	--undefined--
119	0.615249	4	274.153	26.945	2242.871	191.357	2796.517	359.388	3492.540	362.172	--undefined--	--undefined--
120	0.620249	5	274.142	30.151	2209.087	207.287	2760.701	340.597	3504.805	304.382	5307.385	2872.370
121	0.625249	5	274.270	29.365	2154.515	217.312	2713.601	388.959	3389.896	319.655	4256.905	1515.922
122	0.630249	5	273.263	29.799	2095.080	200.975	2627.927	318.222	3286.208	187.934	4457.346	985.833
123	0.635249	5	271.691	37.435	2080.493	198.861	2657.532	434.918	3362.638	344.822	4592.943	756.220
124	0.640249	5	272.300	58.543	2044.022	262.608	2608.255	474.468	3518.025	564.664	4523.186	950.636
125	0.645249	5	265.713	95.874	2024.147	498.154	2511.983	522.581	3626.865	767.464	4331.719	1212.252
126	0.650249	5	240.682	75.078	2241.099	446.340	2432.878	2462.802	3479.617	1270.166	4367.561	924.787
127	0.655249	4	248.647	49.531	2214.088	360.396	3438.521	646.774	4471.801	595.603	--undefined--	--undefined--
128	0.660249	5	252.068	39.310	2009.475	2599.627	2304.686	776.445	3446.868	747.927	4566.944	530.254
129	0.665249	5	250.188	50.349	1689.029	1091.714	2816.844	978.804	3533.816	1338.024	4662.057	792.917
130	0.670249	5	247.993	57.233	1629.641	851.667	2644.598	1089.675	3601.151	595.783	4758.692	718.138
131	0.675249	5	244.622	69.958	1844.009	800.468	2383.046	1832.288	3584.154	418.363	4720.231	585.072
132	0.680249	5	237.506	73.660	1852.084	642.986	2750.178	1909.134	3731.212	677.426	4695.082	830.306
133	0.685249	5	233.006	88.119	1759.022	594.163	2932.654	671.887	4056.944	614.802	4540.749	890.317
134	0.690249	4	1928.157	678.816	3023.750	457.077	4030.356	488.760	4488.982	482.429	--undefined--	--undefined--
135	0.695249	4	1778.152	577.975	3012.888	406.896	4089.261	514.736	4523.681	532.283	--undefined--	--undefined--
136	0.700249	5	518.410	1598.880	1808.072	453.389	3059.939	337.202	4178.864	321.272	4750.782	424.195
137	0.705249	4	1805.217	462.697	3120.560	801.498	4198.711	465.998	4783.308	417.175	--undefined--	--undefined--
138	0.710249	4	2008.797	469.720	3398.209	957.214	4120.975	433.832	4701.119	321.075	--undefined--	--undefined--
139	0.715249	4	2100.856	407.457	3377.366	510.936	4246.591	236.097	4630.642	188.835	--undefined--	--undefined--
140	0.720249	4	2235.346	423.047	3297.207	622.861	4374.403	234.579	4617.854	321.518	--undefined--	--undefined--
141	0.725249	4	2045.767	328.478	3169.344	551.058	4388.559	196.111	4525.058	479.744	--undefined--	--undefined--
142	0.730249	4	1922.349	161.103	3234.280	318.048	4376.731	527.337	4377.447	196.373	--undefined--	--undefined--
143	0.735249	4	1922.408	195.192	3232.850	375.525	4322.209	202.299	4464.433	527.713	--undefined--	--undefined--
144	0.740249	4	1943.082	241.663	3165.461	636.967	4342.978	202.435	4474.310	535.324	--undefined--	--undefined--
145	0.745249	4	1940.437	227.375	3023.816	615.976	4340.639	128.895	4594.765	459.761	--undefined--	--undefined--
146	0.750249	4	1940.700	226.944	3044.831	700.642	4309.378	272.821	4494.964	421.463	--undefined--	--undefined--
147	0.755249	4	1941.953	299.116	2969.746	787.702	3999.524	304.670	4558.778	216.650	--undefined--	--undefined--
148	0.760249	4	1926.958	348.059	2865.713	759.738	3931.470	235.888	4550.929	195.943	--undefined--	--undefined--
149	0.765249	4	1863.794	469.318	2791.360	631.432	3856.857	257.733	4477.286	160.771	--undefined--	--undefined--
150	0.770249	4	1803.893	199.115	2771.636	367.814	3872.439	339.573	4441.206	122.261	--undefined--	--undefined--
151	0.775249	4	1762.877	126.004	2648.820	150.372	3877.886	323.000	4419.376	115.173	--undefined--	--undefined--
152	0.780249	4	1743.177	83.759	2619.259	62.897	3864.861	281.212	4448.151	151.684	--undefined--	--undefined--
153	0.785249	4	1768.149	80.753	2613.929	78.365	4041.425	436.594	4602.129	329.537	--undefined--	--undefined--
154	0.790249	4	1776.163	146.517	2638.251	202.894	4146.994	297.205	4734.066	296.075	--undefined--	--undefined--
155	0.795249	4	1806.974	222.098	2710.369	243.327	4134.746	291.763	4703.510	270.117	--undefined--	--undefined--
156	0.800249	4	1810.274	219.304	2765.013	345.185	4036.594	334.985	4590.888	265.312	--undefined--	--undefined--
157	0.805249	4	1796.473	110.154	2898.478	525.933	4036.859	390.059	4558.168	317.489	--undefined--	--undefined--
158	0.810249	5	294.248	701.794	1785.154	71.982	2983.303	671.256	4107.881	517.397	4514.225	417.249
159	0.815249	5	255.897	706.464	1778.459	148.497	2848.014	580.592	4090.316	426.493	4512.852	436.914
160	0.820249	5	245.345	568.118	1823.064	358.018	2872.070	867.482	4012.369	532.641	4462.178	335.617
161	0.825249	5	309.936	431.543	1801.543	218.093	3018.742	720.492	4011.354	602.603	4535.868	369.875
162	0.830249	5	329.180	579.395	1744.465	301.702	2941.871	542.508	4140.494	895.372	4526.708	448.955
163	0.835249	4	1710.236	597.265	2895.898	1341.031	3721.189	986.422	4541.889	453.078	--undefined--	--undefined--
164	0.840249	5	364.679	1080.395	1737.009	617.192	2777.694	1686.570	3739.956	740.421	4583.885	536.642
165	0.845249	5	348.764	1042.996	1683.325	450.722	3162.616	994.955	4168.944	1778.211	4458.857	705.028
166	0.850249	5	458.015	998.462	1676.004	386.689	3012.241	697.530	4277.300	668.675	4696.084	1483.522
167	0.855249	5	452.647	1507.263	1584.894	756.298	2906.199	760.941	4252.884	638.238	4679.177	1783.408
168	0.860249	4	1510.425	657.494	2064.956	3191.573	2941.959	660.583	4309.484	299.945	--undefined--	--undefined--
169	0.865249	4	1501.606	612.112	2370.289	1304.236	3244.846	966.151	4427.629	432.369	--undefined--	--undefined--
