frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)
53	0.285249	5	1099.510	835.820	2283.007	698.578	2888.929	285.839	4001.454	738.895	4656.383	476.042	--undefined--	--undefined--
54	0.290249	5	865.161	1348.440	1990.738	1033.206	2892.638	202.651	3750.898	710.444	4662.151	271.363	--undefined--	--undefined--
55	0.295249	5	824.762	1044.507	2044.191	702.288	2863.077	125.133	3728.832	542.796	4553.989	235.598	--undefined--	--undefined--
56	0.300249	5	649.183	1346.816	2087.797	689.753	2820.343	139.629	3724.547	479.631	4552.913	148.733	--undefined--	--undefined--
57	0.305249	5	118.651	565.004	1970.055	1448.674	2769.266	179.658	3667.632	536.519	4582.813	208.729	--undefined--	--undefined--
58	0.310249	5	181.220	462.827	2432.584	1270.514	2806.659	254.481	3813.420	668.801	4665.907	349.233	--undefined--	--undefined--
59	0.315249	5	528.736	1222.132	2324.199	883.509	2865.996	188.588	3953.774	388.056	4709.166	251.070	--undefined--	--undefined--
60	0.320249	5	801.569	1069.610	2463.872	1230.675	2831.687	150.212	4002.689	390.447	4709.892	188.524	--undefined--	--undefined--
61	0.325249	5	1003.440	838.947	2821.733	160.377	2951.820	1090.538	4136.566	763.116	4695.589	294.641	--undefined--	--undefined--
62	0.330249	5	975.449	744.118	2822.382	107.936	3181.925	1201.623	4109.053	1098.739	4714.902	352.879	--undefined--	--undefined--
63	0.335249	4	2066.984	1194.308	2819.215	129.609	3831.103	742.427	4631.821	299.453	--undefined--	--undefined--	--undefined--	--undefined--
64	0.340249	5	121.455	325.129	1979.529	850.986	2761.012	139.927	3793.833	764.687	4541.574	344.817	--undefined--	--undefined--
65	0.345249	6	154.773	207.097	1993.949	984.133	2770.089	120.413	3918.115	769.098	4376.458	3396.028	4589.002	383.357
66	0.350249	5	170.770	260.869	2230.156	939.376	2815.762	154.049	3959.646	462.700	4672.734	285.239	--undefined--	--undefined--
67	0.355249	5	151.851	270.851	2371.989	768.828	2867.329	220.451	3910.515	400.252	4697.970	261.090	--undefined--	--undefined--
68	0.360249	5	214.867	1202.229	2246.645	886.604	2922.319	189.661	3830.950	400.939	4649.805	284.334	--undefined--	--undefined--
69	0.365249	4	2247.710	1151.956	2851.572	211.773	3904.222	679.332	4636.985	292.828	--undefined--	--undefined--	--undefined--	--undefined--
70	0.370249	6	123.612	285.563	2225.649	1026.491	2828.192	197.868	3266.823	4261.418	4222.108	593.775	4691.150	374.815
71	0.375249	6	82.404	271.611	1997.091	967.259	2847.999	162.886	3290.341	1867.379	4189.829	655.796	4748.827	242.004
72	0.380249	5	1793.775	1264.756	2842.599	189.899	3440.020	2331.109	3881.325	793.273	4732.540	161.288	--undefined--	--undefined--
73	0.385249	6	176.933	414.395	1769.268	1422.525	2782.806	245.725	3276.406	1186.335	4127.864	777.598	4647.337	296.017
74	0.390249	6	194.183	187.617	2001.304	879.650	2818.677	204.811	3425.197	1043.516	4419.301	342.361	4573.371	1097.378
75	0.395249	5	176.637	129.009	2217.644	615.853	2850.093	94.215	3753.497	462.306	4436.808	236.879	--undefined--	--undefined--
76	0.400249	5	161.032	204.259	2273.044	568.661	2851.574	99.058	3727.501	370.011	4573.315	277.300	--undefined--	--undefined--
77	0.405249	5	237.937	244.150	2252.553	517.552	2854.814	230.453	3703.686	350.731	4580.019	209.644	--undefined--	--undefined--
78	0.410249	5	313.278	97.003	2169.469	227.301	2828.891	210.512	3594.828	206.443	4611.814	267.999	--undefined--	--undefined--
79	0.415249	6	303.820	81.053	2158.302	181.521	2829.065	219.435	2835.638	3108.297	3592.464	162.516	4751.254	435.394
80	0.420249	6	304.481	54.585	2142.073	158.843	2747.690	1925.167	2839.363	217.040	3603.667	135.536	4679.502	883.139
81	0.425249	6	312.782	45.557	2128.109	148.731	2838.115	203.319	2921.719	1754.550	3587.097	166.029	4638.300	915.854
82	0.430249	6	309.449	44.095	2124.910	132.711	2810.949	177.762	3237.280	1672.347	3582.134	217.489	4633.667	1458.615
