frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)
1089	5.465249	8	399.477	648.049	991.617	159.386	1630.567	398.353	2518.735	393.746	3296.950	193.602	3990.367	424.019	4417.082	994.929	5001.604	613.157
1090	5.470249	8	461.203	293.301	1021.521	153.102	1636.593	318.655	2552.162	365.029	3297.314	234.879	3902.237	399.579	4350.328	346.803	5119.396	588.746
1091	5.475249	8	447.505	394.849	1049.577	235.650	1657.807	580.126	2543.673	412.569	3293.184	293.762	4090.357	214.240	4233.610	768.425	5084.907	932.485
1092	5.480249	8	247.711	748.379	1069.313	172.506	1645.771	942.456	2426.207	498.104	3294.201	311.806	4105.310	100.427	4158.887	993.155	4956.214	817.900
1093	5.485249	8	343.484	586.582	1078.361	114.440	1593.899	944.290	2418.249	245.255	3318.051	351.582	4035.795	719.336	4140.109	90.466	4925.173	434.498
1094	5.490249	8	392.634	549.072	1108.837	159.035	1529.465	1135.614	2447.116	293.055	3306.327	358.017	3850.672	910.617	4162.497	60.105	4919.783	292.586
1095	5.495249	8	206.457	957.112	1056.550	211.164	1488.233	893.218	2491.842	207.141	3309.910	231.207	4067.392	1015.007	4127.509	93.729	5054.696	406.590
1096	5.500249	8	353.306	1215.417	915.446	197.683	1539.362	535.925	2491.657	117.923	3277.009	290.687	4040.939	574.374	4094.786	171.371	5166.856	220.571
1097	5.505249	8	544.345	1437.933	832.182	201.207	1418.383	740.001	2468.320	122.705	3176.551	311.804	3891.844	434.186	4163.775	143.436	5165.039	183.493
1098	5.510249	8	654.896	648.469	976.135	332.091	1157.766	1524.306	2469.563	146.060	3100.631	296.508	3943.114	374.022	4195.438	175.369	5102.984	375.085
1099	5.515249	8	566.867	609.797	981.436	251.773	1289.115	1371.244	2508.044	160.500	3099.095	324.721	3959.682	198.342	4262.676	222.524	5130.185	360.883
1100	5.520249	8	584.827	331.833	1055.367	199.740	1503.893	1280.660	2471.050	127.848	3206.127	390.176	4010.273	206.957	4145.077	333.178	5214.174	184.539
1101	5.525249	8	530.966	347.025	1059.753	144.694	1612.479	956.825	2457.186	131.143	3218.426	332.033	4058.712	131.587	4116.148	520.480	5220.283	169.280
1102	5.530249	8	477.426	383.847	1072.101	84.485	1710.108	1455.118	2481.874	150.320	3289.728	409.258	4070.892	99.292	4101.362	979.970	5210.027	472.378
1103	5.535249	7	490.601	364.836	1065.652	87.506	2472.867	164.244	2475.117	1923.186	3407.963	298.672	4054.307	55.558	4713.170	1018.547	--undefined--	--undefined--
1104	5.540249	8	355.986	520.836	1012.297	100.166	1567.044	2033.587	2465.213	132.157	3236.789	272.662	3957.556	882.995	4053.837	50.320	5084.532	404.135
1105	5.545249	8	289.856	615.427	972.038	111.669	1470.372	1378.963	2496.691	184.969	3142.880	181.535	4020.269	79.100	4109.962	452.976	5080.141	345.055
1106	5.550249	8	331.503	338.290	907.567	138.915	1607.934	1021.225	2501.879	182.856	3136.298	205.217	3975.200	77.718	4197.402	386.464	5170.675	460.547
1107	5.555249	8	286.413	227.836	832.069	250.914	1486.400	973.986	2452.724	57.529	3198.203	149.598	4041.669	363.220	4056.133	146.819	5203.636	426.746
1108	5.560249	8	371.887	350.724	540.197	1358.916	968.837	231.127	2448.389	45.883	3197.776	234.008	3939.242	739.019	4062.292	60.165	5363.394	697.681
1109	5.565249	6	450.852	191.773	982.835	127.389	2427.713	105.120	3183.248	439.411	3526.318	836.490	4043.823	57.793	--undefined--	--undefined--	--undefined--	--undefined--
1110	5.570249	7	465.940	141.863	990.101	106.463	2430.606	197.361	2734.206	1430.392	3204.287	303.846	4014.511	2647.547	4050.459	56.779	--undefined--	--undefined--
1111	5.575249	7	465.791	101.985	984.575	81.411	2442.590	149.599	2715.887	1439.699	3188.342	245.964	3946.015	2841.067	4064.836	50.125	--undefined--	--undefined--
1112	5.580249	7	468.267	72.164	975.378	64.781	2433.370	126.165	2771.686	3037.409	3103.094	790.981	3254.668	409.675	4089.104	52.576	--undefined--	--undefined--
1113	5.585249	7	469.981	51.481	971.323	52.497	2425.419	130.347	2906.897	3742.309	2945.445	551.479	3346.492	295.146	4082.831	50.104	--undefined--	--undefined--
1114	5.590249	7	468.585	47.424	971.854	61.621	2406.365	147.294	2877.607	403.160	3121.271	4335.773	3366.580	197.199	4077.943	49.396	--undefined--	--undefined--
1115	5.595249	7	466.438	42.256	975.699	69.424	2412.238	117.961	2855.565	347.921	3360.711	168.389	4074.420	56.265	4332.567	6429.478	--undefined--	--undefined--
1116	5.600249	6	461.564	41.919	979.577	117.358	2416.481	92.324	2860.607	272.754	3365.001	151.146	4092.341	71.274	--undefined--	--undefined--	--undefined--	--undefined--
1117	5.605249	6	460.273	41.584	986.609	149.351	2419.032	84.981	2860.436	267.628	3371.383	142.657	4107.514	47.806	--undefined--	--undefined--	--undefined--	--undefined--
1118	5.610249	7	460.680	39.593	988.630	139.251	2410.309	89.225	2851.250	265.320	3132.995	3628.410	3377.459	140.291	4099.225	40.902	--undefined--	--undefined--
1119	5.615249	7	459.720	41.657	986.134	131.266	2396.223	110.835	2837.598	229.692	3372.907	150.004	3400.393	3371.529	4083.424	71.674	--undefined--	--undefined--
1120	5.620249	6	458.956	37.941	988.966	109.947	2390.087	85.321	2836.745	177.360	3361.886	114.081	4045.740	79.292	--undefined--	--undefined--	--undefined--	--undefined--
1121	5.625249	8	455.442	39.814	691.254	1980.400	988.407	150.165	2379.027	92.883	2808.133	198.190	3331.383	143.428	4044.916	61.815	5021.086	1074.949
1122	5.630249	7	432.664	3279.728	456.591	38.628	998.921	158.063	2389.258	95.874	2832.471	196.017	3325.098	189.554	4061.146	76.450	--undefined--	--undefined--
1123	5.635249	7	457.122	35.570	1005.634	128.605	2393.824	72.400	2733.210	3247.040	2848.340	166.722	3343.200	176.387	4056.997	50.095	--undefined--	--undefined--
1124	5.640249	7	459.423	36.586	1011.520	128.324	2387.198	72.265	2828.715	161.511	3272.915	279.986	4050.447	48.178	4765.804	5413.715	--undefined--	--undefined--
1125	5.645249	7	459.334	33.988	1018.951	136.051	2385.440	67.582	2843.701	152.193	3233.873	294.138	4046.281	47.327	4869.485	1400.794	--undefined--	--undefined--
1126	5.650249	7	458.234	36.904	1025.985	170.908	2382.680	85.172	2868.497	139.496	3252.680	270.116	4053.104	51.321	4859.913	1670.602	--undefined--	--undefined--
1127	5.655249	6	459.574	35.336	1033.415	142.347	2378.700	85.297	2890.023	139.831	3291.998	266.226	4059.605	57.644	--undefined--	--undefined--	--undefined--	--undefined--
1128	5.660249	6	458.430	35.371	1042.923	118.713	2370.640	79.875	2900.541	138.075	3328.078	219.501	4076.376	73.560	--undefined--	--undefined--	--undefined--	--undefined--
1129	5.665249	7	460.766	35.834	1059.299	95.413	2360.062	94.446	2926.602	142.660	3047.573	3731.784	3356.871	199.179	4094.496	72.589	--undefined--	--undefined--
1130	5.670249	7	459.540	33.309	1067.182	75.676	2355.083	89.262	2933.522	125.540	2952.067	3380.435	3362.435	181.214	4092.910	74.805	--undefined--	--undefined--
1131	5.675249	7	458.052	37.271	1080.343	69.009	2356.388	71.307	2918.075	122.666	3331.948	207.260	3430.175	5952.677	4093.234	106.873	--undefined--	--undefined--
1132	5.680249	7	456.688	36.466	1085.520	63.788	2355.296	72.944	2923.523	122.984	3155.020	5361.148	3351.888	208.996	4118.205	131.720	--undefined--	--undefined--
1133	5.685249	6	454.978	37.918	1103.042	65.723	2350.546	76.056	2923.568	119.047	3364.134	198.412	4114.496	145.601	--undefined--	--undefined--	--undefined--	--undefined--
1134	5.690249	7	456.964	40.429	1126.150	95.563	2349.396	84.661	2676.759	3867.136	2943.727	134.395	3398.773	192.050	4112.110	154.402	--undefined--	--undefined--
1135	5.695249	7	457.590	36.534	1169.782	98.070	2349.287	87.444	2595.592	2536.196	2963.336	130.517	3425.279	152.431	4109.987	187.810	--undefined--	--undefined--
1136	5.700249	7	458.615	38.328	1198.903	57.948	2344.140	116.211	2650.774	1909.533	2986.607	146.362	3440.938	133.078	4128.864	279.919	--undefined--	--undefined--
1137	5.705249	7	454.388	39.965	1209.917	43.501	2340.486	144.879	2728.120	1593.765	3005.715	164.738	3442.410	146.648	4080.225	465.263	--undefined--	--undefined--
1138	5.710249	7	444.551	56.092	1230.779	51.910	2343.158	142.601	2979.452	199.306	3443.123	408.164	3458.570	545.004	4707.633	1444.860	--undefined--	--undefined--
1139	5.715249	7	430.855	75.417	1262.863	77.279	2355.136	198.757	2953.178	207.087	3167.987	335.752	3559.903	270.337	4784.285	705.298	--undefined--	--undefined--
1140	5.720249	7	415.166	93.708	1295.829	105.626	2366.207	223.089	2922.571	184.417	3123.045	185.245	3575.381	231.219	4884.484	668.018	--undefined--	--undefined--
1141	5.725249	7	415.468	99.538	1292.379	90.275	2297.053	240.598	2906.162	201.433	3093.266	162.126	3575.709	284.195	4907.131	487.160	--undefined--	--undefined--
1142	5.730249	7	306.543	159.675	1269.205	247.355	2173.786	258.993	2839.813	413.638	3067.980	160.055	3934.975	730.107	4746.937	837.651	--undefined--	--undefined--
1143	5.735249	7	240.720	41.690	1232.069	217.637	2133.984	465.623	2563.156	193.837	3118.379	154.021	4008.069	339.389	4703.268	539.229	--undefined--	--undefined--
1144	5.740249	7	236.686	24.823	1234.190	213.198	2284.889	1006.639	2555.123	126.005	3141.147	187.430	4057.476	424.768	4848.698	386.835	--undefined--	--undefined--
1145	5.745249	7	234.001	22.493	1214.784	277.985	2441.976	1728.074	2556.621	175.759	3114.153	177.690	4175.452	438.816	4903.838	223.756	--undefined--	--undefined--
1146	5.750249	8	231.964	18.867	888.408	1802.198	1242.714	299.137	2510.861	126.445	3085.915	293.074	3783.053	1531.245	4261.256	674.728	4914.310	294.616
1147	5.755249	8	230.638	19.096	1024.448	1613.231	1311.394	312.197	2522.462	130.333	3164.287	531.909	4028.875	2357.239	4155.746	707.411	4884.732	478.934
1148	5.760249	8	230.511	24.773	709.209	1840.509	1282.546	226.975	2521.347	225.876	3067.537	499.782	3448.329	1440.940	4200.914	437.050	4955.085	274.807
1149	5.765249	7	234.102	33.422	1217.133	190.483	2432.551	672.820	2638.464	388.869	3435.008	306.221	4320.693	338.108	4996.520	347.401	--undefined--	--undefined--
1150	5.770249	7	231.564	37.488	1230.138	420.452	2115.053	694.678	2648.217	256.194	3453.648	215.606	4382.193	223.165	5054.365	378.282	--undefined--	--undefined--
1151	5.775249	7	241.470	53.467	1317.630	511.177	2008.942	1017.149	2586.151	274.970	3447.240	320.393	4408.723	308.418	5157.232	939.944	--undefined--	--undefined--
1152	5.780249	7	237.632	59.232	1326.002	466.416	1844.824	1722.114	2528.470	246.807	3405.481	496.523	4047.767	754.889	4610.825	432.642	--undefined--	--undefined--
1153	5.785249	7	219.894	28.137	1009.113	1531.196	1472.183	601.974	2534.023	349.968	3169.718	421.260	3897.792	359.726	4643.717	355.382	--undefined--	--undefined--
1154	5.790249	7	210.330	19.156	1023.252	530.898	1653.880	713.579	2563.567	277.041	3203.990	296.186	3962.309	210.012	4677.192	430.951	--undefined--	--undefined--
1155	5.795249	8	213.094	37.004	1087.737	544.807	1837.094	874.597	2575.140	585.831	3153.851	440.078	3703.053	1109.419	4052.392	556.945	4904.466	367.069
1156	5.800249	8	221.284	189.607	1378.840	590.128	1964.642	672.944	2653.442	501.220	3102.728	347.129	3614.920	435.043	4340.943	488.069	5020.074	751.886
1157	5.805249	8	372.596	506.575	1547.737	613.903	1933.891	1149.901	2599.011	621.477	3066.340	305.884	3681.829	282.645	4423.937	593.457	5094.503	1125.703
1158	5.810249	8	514.005	347.214	1579.604	356.306	2174.021	2050.305	2435.891	551.373	3019.714	223.317	3694.108	94.602	4419.442	591.662	5023.249	662.316
1159	5.815249	7	520.697	369.018	1585.249	214.304	2401.135	339.517	2970.610	227.128	3692.655	60.119	4067.170	813.557	4798.079	419.464	--undefined--	--undefined--
1160	5.820249	7	305.655	585.373	1556.092	223.311	2545.198	172.063	3186.037	626.161	3702.469	78.929	3996.525	603.383	4803.134	192.774	--undefined--	--undefined--
1161	5.825249	7	232.074	428.572	1484.002	252.827	2562.858	63.188	3407.126	239.231	3703.060	117.795	4313.168	456.524	4833.656	231.576	--undefined--	--undefined--
1162	5.830249	7	258.193	360.298	1494.813	414.381	2584.085	68.355	3358.416	140.571	3646.135	151.913	4367.916	259.967	4902.208	221.850	--undefined--	--undefined--
1163	5.835249	6	1585.631	339.131	2599.281	56.965	3362.403	70.349	3630.415	240.114	4273.266	180.760	4917.025	187.018	--undefined--	--undefined--	--undefined--	--undefined--
1164	5.840249	7	606.362	973.081	1638.212	247.069	2606.068	68.516	3369.982	52.350	3644.117	408.659	4278.012	187.414	4877.958	233.537	--undefined--	--undefined--
1165	5.845249	7	635.034	983.028	1661.089	300.026	2640.514	120.074	3405.872	62.501	3811.400	467.551	4398.982	434.142	4904.980	327.445	--undefined--	--undefined--
1166	5.850249	7	770.827	1006.077	1660.138	291.859	2653.140	212.639	3446.038	56.147	3949.874	350.994	4371.740	925.180	4893.228	207.428	--undefined--	--undefined--
1167	5.855249	7	334.219	723.398	1598.631	215.485	2567.116	252.893	3470.582	77.545	3850.939	807.378	4134.903	397.479	4905.110	177.335	--undefined--	--undefined--
1168	5.860249	8	379.273	439.272	1596.788	97.673	1876.233	3466.997	2626.016	97.349	3488.046	42.486	4039.212	530.243	4236.786	490.415	4997.161	279.878
1169	5.865249	8	327.921	395.070	1608.948	96.288	2033.414	1470.703	2635.432	47.968	3464.445	23.356	4075.449	258.304	4263.303	822.298	4962.513	230.070
1170	5.870249	8	428.582	280.537	1598.644	85.871	1973.644	1523.137	2632.409	43.438	3442.189	31.286	3987.878	212.141	4282.928	830.673	4871.286	210.092
1171	5.875249	8	448.447	191.065	1593.623	86.307	1776.967	1366.955	2614.010	39.751	3423.975	58.244	3919.171	163.183	4427.273	578.615	4838.743	231.004
1172	5.880249	8	446.251	382.430	866.256	3188.137	1578.772	109.324	2603.302	52.068	3522.612	124.320	3910.448	608.406	4213.882	649.643	4904.788	187.498
1173	5.885249	7	506.648	279.989	1570.409	140.232	2618.385	136.585	3208.226	1805.855	3522.021	69.055	4114.890	196.447	4936.690	214.458	--undefined--	--undefined--
1174	5.890249	7	515.338	286.392	1589.682	276.517	2669.078	120.601	2991.549	3247.570	3489.145	89.534	4083.644	201.701	4846.098	370.773	--undefined--	--undefined--
1175	5.895249	7	647.042	682.724	1662.486	471.921	1796.463	4499.280	2684.942	91.504	3478.917	118.550	4056.529	209.691	4644.117	293.261	--undefined--	--undefined--
1176	5.900249	7	871.300	585.410	1640.538	419.388	1986.853	2419.101	2677.875	137.846	3489.651	147.089	4042.353	247.912	4623.787	276.638	--undefined--	--undefined--
1177	5.905249	7	741.171	580.973	1578.504	150.724	2649.652	171.469	3462.424	250.756	4060.640	223.552	4418.553	4109.861	4888.913	584.694	--undefined--	--undefined--
1178	5.910249	7	563.600	245.600	1574.154	150.475	1983.197	2071.986	2653.616	198.798	3449.291	313.034	4032.083	157.065	4908.866	429.280	--undefined--	--undefined--
1179	5.915249	7	530.764	132.159	1523.541	310.897	2048.486	737.218	2670.870	198.821	3457.166	159.117	4101.031	326.080	4649.652	300.815	--undefined--	--undefined--
1180	5.920249	7	530.288	224.398	1422.313	336.483	2028.249	432.836	2696.951	193.175	3484.173	159.086	4147.308	476.114	4542.498	261.087	--undefined--	--undefined--
1181	5.925249	7	439.100	511.621	1494.448	259.065	2087.040	473.603	2799.322	298.384	3637.520	352.995	4263.267	392.715	4891.472	1311.306	--undefined--	--undefined--
1182	5.930249	7	503.508	418.045	1511.089	297.126	2028.157	580.318	2839.528	269.592	3804.101	325.994	4282.426	806.924	5065.595	615.349	--undefined--	--undefined--
1183	5.935249	7	459.592	238.061	1191.547	604.274	1654.043	555.822	2572.723	405.656	3165.196	705.223	3973.683	197.056	4768.065	243.637	--undefined--	--undefined--
1184	5.940249	7	401.286	453.191	1078.950	637.539	1655.486	513.543	2486.415	298.466	3286.619	334.742	4012.396	231.755	4800.859	237.305	--undefined--	--undefined--
1185	5.945249	7	984.283	835.902	1564.511	665.060	2348.043	928.989	2989.655	812.161	3679.406	582.827	4359.341	988.378	4892.076	509.338	--undefined--	--undefined--
1186	5.950249	8	387.543	372.665	1177.263	294.971	1812.810	394.271	2394.749	688.256	2980.827	403.499	3657.828	231.923	4354.901	270.132	5043.007	366.413
1187	5.955249	8	368.902	652.682	1121.785	381.102	1850.987	440.242	2476.954	1180.123	2919.433	682.211	3551.097	264.127	4321.870	308.485	5085.895	317.486
1188	5.960249	8	365.151	1211.911	972.708	523.103	1839.937	533.366	2691.330	560.556	3214.980	5599.595	3420.063	276.892	4274.995	493.748	5056.724	538.536
1189	5.965249	8	319.209	796.860	1049.567	462.864	1727.616	1035.709	2417.619	662.708	3046.627	962.824	3517.819	451.883	4355.825	398.840	5077.000	487.552
1190	5.970249	6	1225.748	407.390	2086.427	404.220	2819.106	569.181	3556.360	365.744	4218.950	976.560	4755.517	889.440	--undefined--	--undefined--	--undefined--	--undefined--
1191	5.975249	7	1161.464	848.873	1948.597	531.939	2108.758	1893.911	2886.373	490.170	3726.652	395.574	4320.145	653.071	5041.031	618.828	--undefined--	--undefined--
1192	5.980249	8	329.870	753.843	1086.588	466.505	1780.903	445.977	2314.983	535.073	2937.815	277.111	3797.988	152.342	4473.686	352.872	5022.706	300.835
1193	5.985249	8	538.427	820.552	1160.829	621.131	1742.425	808.973	2214.152	841.606	2886.397	483.754	3793.772	196.911	4508.098	475.452	4976.602	483.207
1194	5.990249	7	624.471	463.290	1254.034	375.243	1976.532	365.019	2849.226	368.228	3709.440	404.414	4376.871	513.314	4937.963	619.348	--undefined--	--undefined--
1195	5.995249	7	520.602	423.018	1256.870	357.012	2041.228	448.374	2869.940	524.301	3534.761	628.224	4304.710	317.485	4996.462	547.881	--undefined--	--undefined--
1196	6.000249	8	457.285	435.420	1228.802	498.479	1873.372	631.442	2605.284	983.605	3247.340	644.463	3339.461	1825.516	4320.696	300.844	5046.033	556.011
1197	6.005249	7	894.030	680.805	1688.604	570.459	2220.272	1359.510	3042.463	1043.065	3323.923	793.647	4287.618	378.079	5022.161	634.298	--undefined--	--undefined--
1198	6.010249	7	786.262	351.381	1722.956	453.760	2074.811	1343.043	2585.926	603.776	3434.764	364.331	4162.417	396.663	4739.039	394.731	--undefined--	--undefined--
1199	6.015249	7	801.393	289.872	1808.854	1991.914	1833.630	476.642	2570.080	433.213	3455.644	283.785	4196.001	267.044	4817.815	345.158	--undefined--	--undefined--
1200	6.020249	7	878.174	431.334	1756.361	3775.346	1852.741	450.331	2510.532	614.923	3379.288	440.560	4185.583	299.975	4946.398	363.092	--undefined--	--undefined--
1201	6.025249	7	935.297	367.067	1787.162	317.855	2386.256	404.935	3311.358	462.807	4000.987	1193.447	4447.203	638.437	4813.390	856.732	--undefined--	--undefined--
1202	6.030249	6	919.045	321.455	1712.044	325.219	2448.154	407.753	3414.270	558.859	3809.793	1542.081	4489.177	324.844	--undefined--	--undefined--	--undefined--	--undefined--
1203	6.035249	6	898.092	507.924	1659.294	397.093	2466.291	335.501	3306.044	488.613	3956.225	955.708	4453.568	406.173	--undefined--	--undefined--	--undefined--	--undefined--
1204	6.040249	7	587.712	471.135	1092.735	401.844	1886.412	400.944	2578.669	531.382	3281.763	342.410	4065.293	391.611	4642.237	621.317	--undefined--	--undefined--
1205	6.045249	7	604.039	682.894	1000.469	684.588	1809.594	354.592	2608.718	631.578	3334.277	340.450	4085.513	419.601	4744.255	769.537	--undefined--	--undefined--
1206	6.050249	7	706.059	364.636	1463.308	346.806	2088.055	536.091	2780.073	437.337	3458.232	404.527	4110.740	407.474	4727.236	327.302	--undefined--	--undefined--
1207	6.055249	7	536.617	368.281	1342.210	265.484	1989.314	300.242	2804.458	267.652	3459.596	482.346	4114.957	401.313	4745.932	234.840	--undefined--	--undefined--
1208	6.060249	7	445.022	224.716	1257.347	242.082	1882.179	339.351	2762.883	426.521	3333.391	368.755	4169.086	320.080	4821.084	323.529	--undefined--	--undefined--
1209	6.065249	8	471.510	322.669	1212.449	273.275	1843.409	350.159	2659.073	859.577	3193.525	410.546	4199.537	2235.168	4202.396	355.716	4926.345	374.021
1210	6.070249	8	458.302	341.790	1206.119	329.156	1901.408	301.710	2538.210	1624.719	3030.856	332.678	4056.961	765.456	4239.319	788.268	4857.513	431.504
1211	6.075249	7	641.134	713.238	1421.895	750.295	1932.324	367.822	2931.479	382.629	3711.730	698.456	3924.927	1135.847	4660.486	416.886	--undefined--	--undefined--
1212	6.080249	7	282.102	758.529	1117.837	586.869	1835.986	338.568	2773.910	898.382	3271.858	1310.500	3612.929	399.990	4541.115	341.608	--undefined--	--undefined--
1213	6.085249	7	394.083	673.261	1169.321	694.297	1738.537	493.453	2480.320	998.652	3304.862	695.996	3604.054	496.394	4539.280	181.402	--undefined--	--undefined--
1214	6.090249	7	549.380	505.993	1230.732	528.636	1895.451	387.568	2407.326	1423.124	3322.116	380.422	3925.908	626.121	4584.223	209.010	--undefined--	--undefined--
1215	6.095249	8	431.395	578.023	1108.555	421.303	1861.191	390.528	2404.062	849.260	3268.174	361.161	4081.961	486.524	4648.487	651.393	5361.873	2196.752
1216	6.100249	7	56.069	879.372	1079.082	371.254	1956.871	400.933	2617.940	993.897	3260.421	498.913	4152.949	312.024	4876.418	511.514	--undefined--	--undefined--
1217	6.105249	8	353.414	824.134	1081.143	620.641	1883.651	641.413	2459.524	938.139	3115.026	526.132	4169.532	419.028	4210.194	2783.858	4881.336	423.151
1218	6.110249	8	469.104	516.495	1135.284	930.433	1547.131	657.318	2368.720	489.927	3050.727	429.946	3835.069	1137.113	4318.211	536.056	4915.894	355.274
1219	6.115249	8	504.675	400.168	1139.286	1135.391	1449.905	306.739	2432.951	377.934	3056.490	407.507	3867.740	771.150	4295.993	585.051	4959.379	269.309
1220	6.120249	8	577.444	456.804	1193.769	1124.682	1445.464	257.910	2492.368	284.414	3078.343	317.872	3909.261	433.742	4519.750	1033.834	4910.497	370.049
1221	6.125249	8	584.036	305.348	1293.009	320.244	1768.630	667.593	2490.381	531.217	3053.598	301.602	3921.160	377.371	4694.181	658.368	4998.603	988.117
1222	6.130249	7	611.258	283.357	1429.525	376.937	1996.251	288.441	2993.137	341.673	3613.730	2240.571	3916.663	595.056	4772.774	648.434	--undefined--	--undefined--
1223	6.135249	8	600.512	422.257	1421.685	2480.337	1452.514	402.910	1989.219	439.168	2984.445	313.904	3758.278	352.493	4521.446	648.561	5048.066	918.368
1224	6.140249	8	520.960	904.308	979.772	916.904	1493.525	269.538	2240.433	938.027	2904.151	208.493	3695.339	264.459	4396.661	497.135	5078.228	593.801
1225	6.145249	7	1034.855	523.328	1473.370	292.046	2591.613	1506.385	2859.719	250.755	3578.468	445.945	4420.466	641.613	5000.038	445.236	--undefined--	--undefined--
1226	6.150249	7	934.705	523.476	1339.404	408.977	2139.536	940.459	2859.181	430.806	3423.802	479.088	4289.509	522.045	4934.413	281.327	--undefined--	--undefined--
1227	6.155249	7	834.509	380.619	1439.905	308.319	2193.368	426.751	3165.608	351.555	3660.210	641.906	4294.087	332.405	4965.800	328.603	--undefined--	--undefined--
1228	6.160249	7	752.926	478.936	1430.311	235.524	2151.175	362.350	3154.461	455.982	3712.413	839.147	4333.944	529.754	4898.211	663.888	--undefined--	--undefined--
1229	6.165249	7	471.356	708.674	1362.711	158.679	1990.115	538.236	2802.784	290.129	3458.629	255.572	4353.936	306.850	4901.549	366.734	--undefined--	--undefined--
1230	6.170249	7	415.885	543.387	1326.231	169.050	2017.985	520.100	2865.143	294.444	3460.030	353.608	4312.710	315.173	4950.475	288.122	--undefined--	--undefined--
1231	6.175249	7	501.778	404.829	1289.490	151.557	2023.865	320.632	2904.326	256.696	3470.641	666.896	4101.403	701.813	4764.080	509.117	--undefined--	--undefined--
1232	6.180249	7	534.910	421.954	1273.904	130.837	1950.219	460.084	2824.415	217.182	3485.432	399.771	4226.807	690.063	4559.111	555.792	--undefined--	--undefined--
1233	6.185249	7	669.874	572.371	1243.849	206.518	2020.466	710.254	2808.242	274.913	3512.087	359.080	4328.444	274.027	5022.335	857.221	--undefined--	--undefined--
1234	6.190249	8	512.565	405.494	1162.685	303.622	1518.796	985.601	2362.932	755.939	2900.634	446.684	3609.322	490.819	4306.622	246.335	5039.501	475.270
1235	6.195249	8	408.545	277.300	1089.151	246.654	1703.307	590.942	2461.311	416.322	3187.902	529.814	3706.654	538.779	4418.495	414.010	5017.935	627.662
1236	6.200249	8	387.284	239.746	1078.114	220.628	1875.935	413.925	2516.249	524.242	3272.862	534.389	3593.984	592.606	4398.852	451.150	4953.640	484.956
1237	6.205249	8	424.479	351.938	1008.895	242.579	1784.904	426.171	2365.286	665.011	3194.593	363.158	3571.932	493.517	4311.032	433.483	5041.607	316.571
1238	6.210249	8	417.778	341.323	992.477	197.283	1669.296	361.393	2267.781	465.498	3220.262	191.747	3805.105	372.783	4470.115	542.900	5035.900	464.855
1239	6.215249	7	399.834	487.083	1052.817	395.186	1664.227	416.860	2405.996	607.805	3143.054	473.443	3907.049	347.695	4659.294	390.078	--undefined--	--undefined--
1240	6.220249	7	853.469	685.952	1419.973	879.728	1835.584	725.244	2743.891	367.164	3703.277	253.941	4350.176	404.370	5041.497	712.735	--undefined--	--undefined--
1241	6.225249	7	796.458	623.393	1178.724	505.812	1904.745	368.856	2816.298	207.896	3653.869	185.959	4393.269	364.461	5008.415	558.612	--undefined--	--undefined--
1242	6.230249	7	752.972	610.915	1090.263	395.070	1917.213	275.101	2835.706	161.887	3632.593	172.013	4509.675	431.170	4911.630	641.836	--undefined--	--undefined--
1243	6.235249	8	572.723	1040.876	896.106	434.328	1585.932	751.560	2241.698	1210.766	2865.056	351.232	3655.066	302.499	4608.855	615.604	4782.836	461.172
1244	6.240249	8	433.842	519.689	988.895	443.910	1599.596	336.438	2589.953	301.158	3049.413	352.691	3741.893	421.627	4618.342	385.588	4884.559	716.042
1245	6.245249	8	421.689	509.718	1039.854	489.356	1652.727	394.754	2611.891	298.021	3032.724	350.519	3747.677	415.136	4513.490	327.106	5169.611	748.929
1246	6.250249	7	812.435	435.442	1442.115	517.156	2292.505	774.038	2840.844	605.810	3397.815	1118.335	4279.737	603.908	4684.991	1182.463	--undefined--	--undefined--
1247	6.255249	7	825.320	579.703	1268.339	599.066	2066.924	456.110	2675.664	444.449	3432.526	398.052	4284.231	429.211	4759.681	639.053	--undefined--	--undefined--
1248	6.260249	8	493.572	581.022	1090.763	327.025	1944.362	455.439	2439.574	440.936	3342.723	532.703	3547.813	970.942	4448.874	250.661	5144.886	756.162
1249	6.265249	8	451.367	817.410	1098.332	453.674	1898.193	726.454	2311.788	408.329	3205.705	389.106	3671.781	847.185	4457.894	178.372	5253.081	1052.431
1250	6.270249	7	1071.884	684.062	1455.857	1181.748	2101.539	823.137	2689.628	831.739	3329.839	485.404	4355.752	583.592	4590.077	793.619	--undefined--	--undefined--
1251	6.275249	7	301.607	1082.653	1283.820	423.765	1911.906	440.576	2745.864	282.197	3478.505	355.655	4151.802	556.792	4794.949	596.915	--undefined--	--undefined--
1252	6.280249	7	545.779	541.220	1291.245	414.938	1969.523	529.112	2759.002	383.562	3506.011	327.840	4303.050	687.062	4760.822	1270.692	--undefined--	--undefined--
1253	6.285249	8	530.338	464.895	1224.864	321.876	1642.902	837.347	2648.856	392.490	3009.724	1267.080	3615.019	511.226	4428.467	262.103	5286.492	1249.536
