frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)
39	0.215249	7	417.416	629.979	1125.666	416.445	1717.514	491.665	2472.490	661.568	3081.937	462.345	3851.554	543.507	4604.905	306.967	--undefined--	--undefined--
40	0.220249	8	281.723	926.132	1079.296	544.212	1669.098	442.172	2411.921	491.195	3120.129	398.701	3804.259	569.862	4386.310	459.001	4936.340	502.607
41	0.225249	8	323.792	825.879	996.549	1617.920	1584.633	387.250	2420.009	513.873	3129.757	470.165	3690.699	591.525	4278.634	444.028	4913.216	541.276
42	0.230249	8	267.209	634.111	1199.518	1098.009	1625.864	505.427	2471.216	508.466	3350.300	349.700	3752.640	1144.284	4264.156	736.256	4898.697	427.856
43	0.235249	8	305.525	591.769	1163.256	548.154	1852.251	620.778	2512.464	583.497	3349.219	488.317	3959.040	690.208	4401.254	1778.914	4924.997	329.149
44	0.240249	7	908.914	455.863	1433.654	1170.259	2319.209	577.748	2935.084	524.562	3907.803	312.939	4810.160	304.583	4901.547	2163.587	--undefined--	--undefined--
45	0.245249	7	866.838	366.152	1475.258	752.040	2439.022	402.985	3145.654	609.947	4045.905	479.639	4738.605	264.493	5214.781	3755.565	--undefined--	--undefined--
46	0.250249	7	834.703	850.891	1423.133	689.421	2442.762	584.136	2967.650	1082.069	3618.151	981.637	4310.760	832.151	4779.389	520.571	--undefined--	--undefined--
47	0.255249	7	373.612	569.753	1423.643	453.281	1986.248	465.661	2838.122	303.022	3564.598	354.540	4292.973	396.241	4961.778	748.384	--undefined--	--undefined--
48	0.260249	7	581.194	324.903	1409.047	265.727	1956.771	284.020	2875.592	205.869	3526.784	269.545	4300.216	264.342	4936.720	1078.051	--undefined--	--undefined--
49	0.265249	7	614.972	285.032	1408.760	225.785	2060.458	404.278	2849.362	249.454	3475.512	379.901	4291.917	267.177	4992.253	667.811	--undefined--	--undefined--
50	0.270249	7	803.709	371.087	1440.923	302.934	2145.260	421.711	2846.694	255.858	3510.199	377.584	4270.306	356.816	4859.436	556.628	--undefined--	--undefined--
51	0.275249	7	1012.203	478.511	1481.536	733.804	2043.849	490.895	2838.216	293.884	3461.745	456.090	4123.006	502.128	4690.307	471.321	--undefined--	--undefined--
52	0.280249	7	1109.505	533.389	1275.074	1509.972	2109.866	545.838	2729.916	315.138	3233.133	589.581	4058.756	291.575	4605.926	297.404	--undefined--	--undefined--
53	0.285249	7	969.536	1847.675	1005.515	668.178	2075.089	428.653	2759.238	215.665	3221.095	395.775	4100.608	274.586	4696.792	249.110	--undefined--	--undefined--
54	0.290249	7	186.533	2038.667	1049.745	825.355	2018.252	468.550	2848.754	137.610	3372.601	457.615	4121.921	514.131	4706.660	220.807	--undefined--	--undefined--
55	0.295249	7	779.751	744.444	1998.621	553.750	2543.202	3743.579	2853.244	112.131	3632.506	532.310	4515.670	327.581	4847.482	1059.633	--undefined--	--undefined--
56	0.300249	7	704.840	508.140	2003.140	409.209	2794.771	1894.497	2808.510	110.055	3638.947	341.300	4485.579	169.572	4913.929	494.516	--undefined--	--undefined--
57	0.305249	7	624.019	1144.957	1965.649	808.695	2772.407	153.962	2933.300	1689.142	3633.494	371.722	4502.820	260.397	4857.161	545.651	--undefined--	--undefined--
58	0.310249	7	382.867	709.638	1519.432	2643.734	2173.227	871.139	2788.903	186.987	3396.531	711.774	4032.154	537.588	4683.469	248.864	--undefined--	--undefined--
59	0.315249	6	898.054	807.499	2145.777	465.372	2818.064	130.561	3324.284	507.530	4046.984	174.938	4697.805	94.210	--undefined--	--undefined--	--undefined--	--undefined--
60	0.320249	6	993.093	403.951	2134.749	420.529	2805.295	80.467	3309.325	459.229	4067.073	173.693	4693.932	87.933	--undefined--	--undefined--	--undefined--	--undefined--
