frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)	F9(Hz)	B9(Hz)	F10(Hz)	B10(Hz)	F11(Hz)	B11(Hz)	F12(Hz)	B12(Hz)
37	0.205249	11	419.025	250.789	768.601	441.286	1251.701	153.805	1836.228	213.623	2282.423	143.407	2845.248	124.787	3267.528	243.509	3798.918	195.379	4282.980	221.289	4716.916	240.220	5294.049	403.533	--undefined--	--undefined--
38	0.210249	11	402.940	211.285	765.647	552.918	1246.674	179.259	1812.355	222.200	2262.366	291.743	2839.244	222.276	3169.156	327.685	3749.209	169.826	4318.117	197.358	4725.676	183.431	5423.445	498.653	--undefined--	--undefined--
39	0.215249	11	349.072	319.315	959.247	363.978	1317.824	423.851	1756.800	346.795	2276.811	451.885	2725.437	361.725	3167.152	212.053	3767.921	181.886	4382.110	221.651	4796.219	217.561	4924.129	2073.596	--undefined--	--undefined--
40	0.220249	11	276.003	375.422	887.783	393.136	1299.817	405.961	1717.813	279.096	2277.973	301.498	2762.480	363.157	3224.824	257.757	3846.833	321.124	3877.549	1184.784	4392.939	204.936	4883.723	186.148	--undefined--	--undefined--
41	0.225249	11	240.311	246.116	739.951	306.237	1330.809	296.784	1691.387	214.893	2268.389	229.276	2758.939	293.350	3244.135	310.833	3537.133	688.405	3898.903	295.920	4367.367	171.361	4894.995	179.740	--undefined--	--undefined--
42	0.230249	12	230.086	130.464	758.428	217.821	1331.442	255.440	1708.730	271.568	2226.741	422.354	2609.978	452.987	3070.284	601.985	3387.624	193.540	3867.145	264.858	4366.071	274.454	4857.566	307.861	5156.449	646.710
43	0.235249	12	253.956	145.425	787.151	280.062	1234.139	266.085	1717.438	282.186	2215.115	363.404	2574.381	700.813	2884.365	429.826	3398.177	179.055	3864.812	234.510	4268.715	310.011	4766.317	148.855	5143.272	127.713
44	0.240249	12	291.305	278.857	929.168	537.467	936.434	353.963	1565.613	309.320	2227.667	336.090	2402.550	627.208	2845.065	201.353	3364.329	226.238	3882.513	109.883	4279.289	198.809	4757.421	69.325	5162.383	100.969
45	0.245249	12	275.335	336.755	751.851	366.145	1005.987	242.386	1520.418	197.895	2083.761	277.217	2472.586	154.708	2930.352	169.905	3382.573	173.175	3889.237	125.903	4306.531	101.930	4739.584	48.259	5200.525	164.857
46	0.250249	12	231.482	198.628	761.315	324.011	1150.768	321.469	1591.291	272.768	2126.793	383.857	2491.385	232.245	2943.345	223.787	3414.946	272.311	3816.950	214.591	4296.520	107.828	4745.963	82.744	5238.539	245.997
47	0.255249	12	161.008	562.433	540.092	373.617	1227.214	353.206	1612.679	325.058	2048.860	274.311	2781.717	543.372	2814.898	434.227	3421.640	377.797	3775.359	294.957	4302.913	148.157	4789.471	249.811	5265.127	394.300
48	0.260249	11	574.409	176.895	1229.421	496.002	1476.093	286.277	1967.283	160.629	2826.098	300.292	2844.555	675.786	3439.872	316.375	3835.784	411.587	4349.619	151.349	4922.063	537.605	5308.687	714.286	--undefined--	--undefined--
49	0.265249	11	606.356	172.442	1125.967	972.110	1395.761	185.068	1961.580	256.307	2540.959	471.860	2898.941	251.728	3393.887	316.995	3842.914	406.340	4333.393	142.603	4889.896	323.914	5385.513	745.774	--undefined--	--undefined--
50	0.270249	11	666.069	195.102	934.567	690.396	1357.953	154.118	1889.848	226.331	2359.900	329.181	2815.662	182.265	3267.113	297.441	3722.351	345.901	4227.490	632.038	4401.238	296.990	4943.736	222.438	--undefined--	--undefined--
51	0.275249	11	785.712	409.595	880.624	1719.402	1308.452	305.451	1904.500	347.314	2267.548	617.325	2809.401	214.973	3310.022	311.272	3852.274	347.909	3898.641	1900.744	4389.119	284.319	4882.617	284.888	--undefined--	--undefined--
52	0.280249	10	709.071	660.413	1136.452	336.499	1594.696	440.740	2107.306	208.783	2613.918	155.812	2982.219	206.859	3477.421	408.731	3998.393	382.679	4266.164	370.940	4710.431	206.412	--undefined--	--undefined--	--undefined--	--undefined--
53	0.285249	11	50.115	178.986	825.218	365.975	1155.625	607.458	1621.986	600.474	2076.023	208.113	2625.860	136.101	2955.359	125.493	3440.057	192.924	4131.857	197.088	4214.115	787.282	4719.073	126.007	--undefined--	--undefined--
54	0.290249	11	649.942	481.130	1082.350	444.474	1635.013	457.999	2072.614	241.881	2707.750	210.871	2944.370	134.215	3449.941	164.431	4018.036	308.238	4373.262	477.933	4719.506	159.537	5225.794	549.973	--undefined--	--undefined--
55	0.295249	10	520.661	487.173	1038.728	670.403	1551.069	597.248	2069.796	212.057	2747.194	180.876	2941.242	162.083	3558.748	228.686	4006.364	383.570	4472.959	174.075	4832.448	261.515	--undefined--	--undefined--	--undefined--	--undefined--
